Name,construct,parent,OD,GFP,RFP,GFP/OD,RFP/OD
P22_dh5a,pass,pass,1.4637,10384,10,7094.349935,6.832001093
P22_hns,pass,pass,1.6004,20207,18,12626.21845,11.2471882
P22_hns,pass,pass,1.379,11156,11,8089.920232,7.976794779
P22_hns,pass,pass,1.3638,12251,11,8982.988708,8.065698783
P22_hns,pass,pass,1.4736,18028,17,12233.9848,11.53637351
P22_hns,pass,pass,1.3639,12068,10,8848.156023,7.33191583
P22_hns,pass,pass,1.3589,12979,10,9551.107513,7.358893222
P22_hns,pass,pass,1.2469,10155,8,8144.19761,6.41591146
P22_hns,pass,pass,1.2484,9848,7,7888.497277,5.607177187
P22_hns,pass,pass,1.3582,13237,11,9745.987336,8.098954499
P22_hns,pass,pass,1.3402,14153,10,10560.36412,7.4615729
P22_hns,pass,pass,1.142,9917,7,8683.887916,6.129597198
P22_hns,pass,pass,1.3085,12743,10,9738.632021,7.642338556
P23_dh5a,pass,pass,1.5722,177,10,112.5810966,6.36051393
P23_dh5a,pass,pass,1.588,124,10,78.08564232,6.297229219
P23_dh5a,pass,pass,1.5683,129,8,82.25467066,5.101064847
P23_dh5a,pass,pass,1.5471,128,9,82.7354405,5.81733566
P23_dh5a,pass,pass,1.5269,107,8,70.07662584,5.239373895
P23_dh5a,pass,pass,1.5096,104,8,68.89242183,5.299417064
P23_dh5a,pass,pass,1.3805,103,5,74.61064832,3.621876132
P23_dh5a,pass,pass,1.4759,115,8,77.91855817,5.420421438
P23_dh5a,pass,pass,1.5439,98,9,63.47561371,5.829393095
P23_dh5a,pass,pass,1.4981,103,7,68.75375476,4.672585275
P23_dh5a,pass,pass,1.528,91,9,59.55497382,5.890052356
P23_dh5a,pass,pass,1.5208,88,10,57.86428196,6.575486586
P23_hns,pass,pass,1.5341,136,18,88.65132651,11.7332638
P23_hns,pass,pass,1.4359,82,9,57.10704088,6.26784595
P23_hns,pass,pass,1.5591,74,11,47.4632801,7.055352447
P23_hns,pass,pass,1.5006,94,10,62.64161002,6.664001066
P23_hns,pass,pass,1.4478,81,12,55.946954,8.28843763
P23_hns,pass,pass,1.3624,71,12,52.11391662,8.807985907
P23_hns,pass,pass,1.4313,67,9,46.81059177,6.287989939
P23_hns,pass,pass,1.4314,85,10,59.3824228,6.986167389
P23_hns,pass,pass,1.3259,72,10,54.30273776,7.542046912
P23_hns,pass,pass,1.5212,78,14,51.27530897,9.203260584
P23_hns,pass,pass,1.3393,73,9,54.50608527,6.719928321
P23_hns,pass,pass,1.3072,125,11,95.62423501,8.414932681
P24_dh5a,pass,pass,1.5316,127,30,82.91982241,19.58735962
P24_dh5a,pass,pass,1.5596,82,26,52.577584,16.67094127
P24_dh5a,pass,pass,1.582,85,29,53.72945638,18.3312263
P24_dh5a,pass,pass,1.5217,100,26,65.71597555,17.08615364
P24_dh5a,pass,pass,1.5701,100,30,63.69021081,19.10706324
P24_dh5a,pass,pass,1.495,95,27,63.5451505,18.06020067
P24_dh5a,pass,pass,1.4632,105,26,71.76052488,17.76927283
P24_dh5a,pass,pass,1.5734,112,35,71.18342443,22.24482013
P24_dh5a,pass,pass,1.5425,100,33,64.82982172,21.39384117
P24_dh5a,pass,pass,1.5733,97,35,61.6538486,22.24623403
